In the console, type clear and hit Enter or Return. 

This will clear the console output. 

Run the file once while the tasks are short. 

Copy and paste the terminal results here.

(base) hajarsyria@HajarMacBookPro streaming-02-multiple-processes % /usr/local/bin/python3 "/Users/hajarsyria/Streaming Git/Streaming 02/streaming-02-multiple-processes/process_streaming_Hajar.py
"
2023-09-03 01:10:31,321 - INFO - ===============================================
2023-09-03 01:10:31,321 - INFO - Starting fake streaming process.
2023-09-03 01:14:46,652 - INFO - Sent: b'[Jodaeiye Nader az Simin, 8.3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:49,656 - INFO - Sent: b'[Touch of Evil, 8]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:52,660 - INFO - Sent: b'[Der Himmel \xc3\xbcber Berlin, 8]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:55,666 - INFO - Sent: b'[The Silence of the Lambs, 8.6]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:58,671 - INFO - Sent: b'[Some Like It Hot, 8.2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:15:01,677 - INFO - Sent: b'[On the Waterfront, 8.1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:15:04,683 - INFO - Sent: b'[8\xc2\xbd, 8]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:15:07,687 - INFO - Sent: b'[Festen, 8.1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:15:10,693 - INFO - Sent: b'[Amadeus, 8.4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:15:13,694 - INFO - Sent: b'[Sin City, 8]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:15:16,697 - INFO - Sent: b'[Full Metal Jacket, 8.3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:15:19,703 - INFO - Sent: b'[Idi i smotri, 8.4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:15:22,705 - INFO - Sent: b'[Snatch, 8.2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:15:25,711 - INFO - Sent: b'[Fanny och Alexander, 8.1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:15:28,717 - INFO - Sent: b'[Raiders of the Lost Ark, 8.4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:15:31,722 - INFO - Streaming complete!
2023-09-03 01:15:31,722 - INFO - ===============================================
(base) hajarsyria@HajarMacBookPro streaming-02-multiple-processes % 
